"@timestamp","kubernetes.pod_name",log
"May 5, 2025 @ 21:31:33.260","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:33.260Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-updater' resolved to main-eaa8eca0f1b7f9f8c9c32e81ead6a7751fc3e223-20250419095702"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-updater"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-updater"",""reconcileID"":""dd63c138-f4bf-4552-b18d-49a4aa117b5f""}"
"May 5, 2025 @ 21:31:33.251","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:33.251Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-updater' resolved to main-eaa8eca0f1b7f9f8c9c32e81ead6a7751fc3e223-20250419095702"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-updater"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-updater"",""reconcileID"":""0593dc71-d115-4b50-9e4b-f408387b6ca1""}"
"May 5, 2025 @ 21:31:33.243","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:33.243Z"",""msg"":""no new tags found, next scan in 1m0s"",""controller"":""imagerepository"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImageRepository"",""ImageRepository"":{""name"":""stg-portfolio-updater"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-updater"",""reconcileID"":""8c9b0beb-8f63-4adf-9e41-70a122d42cae""}"
"May 5, 2025 @ 21:31:32.699","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:32.699Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-admin' resolved to main-306dc704b64b2030867772a465221a2489566ac6-20250419061235"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-admin"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-admin"",""reconcileID"":""cd40ff58-ba2f-4ee3-9b27-e3f617a32cc7""}"
"May 5, 2025 @ 21:31:32.689","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:32.689Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-admin' resolved to main-306dc704b64b2030867772a465221a2489566ac6-20250419061235"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-admin"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-admin"",""reconcileID"":""4c5ce671-831e-4164-8404-cd3961c55b87""}"
"May 5, 2025 @ 21:31:32.682","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:32.682Z"",""msg"":""no new tags found, next scan in 1m0s"",""controller"":""imagerepository"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImageRepository"",""ImageRepository"":{""name"":""stg-portfolio-admin"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-admin"",""reconcileID"":""2274f59b-e7cc-4efe-9d10-1216a20efd35""}"
"May 5, 2025 @ 21:31:32.665","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:32.665Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-updater' resolved to main-eaa8eca0f1b7f9f8c9c32e81ead6a7751fc3e223-20250419095702"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-updater"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-updater"",""reconcileID"":""12d93daf-2eab-4cd5-895c-f59121483e00""}"
"May 5, 2025 @ 21:31:32.065","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:32.065Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-admin' resolved to main-306dc704b64b2030867772a465221a2489566ac6-20250419061235"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-admin"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-admin"",""reconcileID"":""88a396eb-a285-43d2-9f98-d29db1f0f33b""}"
"May 5, 2025 @ 21:31:29.505","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:29.505Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-app' resolved to main-306dc704b64b2030867772a465221a2489566ac6-20250419061233"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-app"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-app"",""reconcileID"":""afce2a6e-bad0-46a7-bab2-a406700beffd""}"
"May 5, 2025 @ 21:31:29.497","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:29.497Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-app' resolved to main-306dc704b64b2030867772a465221a2489566ac6-20250419061233"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-app"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-app"",""reconcileID"":""4eabcc51-635e-4cec-8f02-f53038118222""}"
"May 5, 2025 @ 21:31:29.489","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:29.489Z"",""msg"":""no new tags found, next scan in 1m0s"",""controller"":""imagerepository"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImageRepository"",""ImageRepository"":{""name"":""stg-portfolio-app"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-app"",""reconcileID"":""4b6b0b6b-151e-4abd-bde8-9b1280b6a6ec""}"
"May 5, 2025 @ 21:31:28.895","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:28.895Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-app' resolved to main-306dc704b64b2030867772a465221a2489566ac6-20250419061233"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-app"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-app"",""reconcileID"":""2eb7aca1-d270-4f83-80d5-0d8627a9a426""}"
"May 5, 2025 @ 21:31:27.050","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:27.050Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-backend' resolved to main-3e00541a62fac2c31d54d49d4cf5367c5b88be7d-20250419030144"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-backend"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-backend"",""reconcileID"":""c9c5f987-ea15-47a8-93ad-79f908365834""}"
"May 5, 2025 @ 21:31:27.042","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:27.042Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-backend' resolved to main-3e00541a62fac2c31d54d49d4cf5367c5b88be7d-20250419030144"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-backend"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-backend"",""reconcileID"":""5d954ba8-7184-4d76-988e-48612e3f0457""}"
"May 5, 2025 @ 21:31:27.036","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:27.036Z"",""msg"":""no new tags found, next scan in 1m0s"",""controller"":""imagerepository"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImageRepository"",""ImageRepository"":{""name"":""stg-portfolio-backend"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-backend"",""reconcileID"":""e4281837-76d3-4d96-a14d-b5bc5322ae89""}"
"May 5, 2025 @ 21:31:26.417","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:26.417Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-backend' resolved to main-3e00541a62fac2c31d54d49d4cf5367c5b88be7d-20250419030144"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-backend"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-backend"",""reconcileID"":""fe42d082-277f-4ddb-b64e-8e06240ce5ad""}"
"May 5, 2025 @ 21:30:32.659","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:30:32.659Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-updater' resolved to main-eaa8eca0f1b7f9f8c9c32e81ead6a7751fc3e223-20250419095702"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-updater"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-updater"",""reconcileID"":""975486b1-8a73-44b8-a07c-1be62ac122eb""}"
"May 5, 2025 @ 21:30:32.651","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:30:32.651Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-updater' resolved to main-eaa8eca0f1b7f9f8c9c32e81ead6a7751fc3e223-20250419095702"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-updater"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-updater"",""reconcileID"":""59ba43ef-4c23-4310-9e42-ae9112bee52d""}"
